"Table S10 Cluster-enriched genes of the identified 3 clusters of donor 2018-135 with 10X Genomics single-cell RNA sequencing.","...2","...3","...4","...5","...6","...7"
"LIPA","9.6451127995643505E-5","0.29507510477980697","0.23499999999999999","0.17599999999999999","1","1"
"DEGS1","1.15246383464567E-4","0.334510767051654","0.14199999999999999","9.6000000000000002E-2","1","1"
"SPCS1","1.2989206647572799E-4","0.35491615576987601","0.106","6.6000000000000003E-2","1","1"
"LAMP2","1.8710073148246999E-4","0.28993409299983502","0.186","0.13300000000000001","1","1"
"ARL6IP1","1.9716591054484901E-4","0.33480259510548799","0.151","0.105","1","1"
"SLC3A2","3.0562577988233603E-4","0.28372955033332498","0.113","7.1999999999999995E-2","1","1"
"OLFML3","4.4346205802557999E-4","0.26767939864231999","0.10199999999999999","6.3E-2","1","1"
"FCER1A","4.9576887642076805E-4","0.36795646177554903","0.13700000000000001","0.1","1","1"
"SRSF1","7.3324658554524197E-4","0.30303847827519298","0.125","8.5000000000000006E-2","1","1"
"FCGR1A","8.5667712752568101E-4","0.27885412275000299","0.28699999999999998","0.23599999999999999","1","1"
"MSR1","1.08137822049898E-3","0.26460658851090901","0.14299999999999999","0.10199999999999999","1","1"
"PSMB3","1.24366230114277E-3","0.28631236996792397","0.124","8.7999999999999995E-2","1","1"
"CD37","1.9991300422285601E-3","0.27388632112649502","0.16500000000000001","0.125","1","1"
"EVI2A","2.00188581493426E-3","0.28650562038942701","0.158","0.11799999999999999","1","1"
"TMEM59","2.5267728117759399E-3","0.27216284333849999","0.27300000000000002","0.22800000000000001","1","1"
"THUMPD3-AS1","7.1253659582456701E-3","0.25635233296258197","0.15","0.11799999999999999","1","1"
"LAMP1","9.6496154691809895E-3","0.25846345779784402","0.13800000000000001","0.108","1","1"
"DUSP1","6.7117806118571495E-119","1.5917909320564001","0.622","0.156","8.2279718520756907E-115","2"
"HSPA1B","1.3857199152885799E-100","1.5142345278232101","0.58599999999999997","0.16400000000000001","1.6987540441522701E-96","2"
"HSP90AA1","3.6236750744526598E-70","0.98771882733592398","0.88600000000000001","0.66400000000000003","4.4422632737715099E-66","2"
"HSPA1A","2.51036758732952E-67","0.98011596391910605","0.80900000000000005","0.52300000000000002","3.0774596253072602E-63","2"
"DNAJB1","3.7129022031936801E-57","1.5059036967892601","0.35899999999999999","9.5000000000000001E-2","4.5516468108951301E-53","2"
"UBC","4.3583191466396397E-50","1.00189152054261","0.63400000000000001","0.34399999999999997","5.3428634418655302E-46","2"
"RGS1","3.2558669609015E-47","0.69039907663813405","0.86399999999999999","0.628","3.9913673073691397E-43","2"
"PPP1R15A","4.4915321839524199E-45","1.58177422408938","0.16700000000000001","1.6E-2","5.5061693043072702E-41","2"
"CXCR4","3.2132792694464101E-36","0.85245292334550005","0.52100000000000002","0.26400000000000001","3.9391590564143599E-32","2"
"HSPB1","1.8384976675429899E-31","0.77983162441388898","0.79","0.61899999999999999","2.2538142906409502E-27","2"
"HSPA6","5.9685344781412101E-31","1.4591118700866199","0.19600000000000001","4.8000000000000001E-2","7.3168264167533103E-27","2"
"FOS","3.5604996018356897E-30","1.20203102561718","0.247","7.6999999999999999E-2","4.3648164618903802E-26","2"
"HSPH1","3.4251815445476703E-26","0.80335787989751695","0.44","0.23","4.1989300554609901E-22","2"
"NEAT1","8.4766839030410304E-16","0.358978611658477","0.83299999999999996","0.70099999999999996","1.0391566796737999E-11","2"
"DDIT4","1.7195268956064799E-15","0.56847528446317597","0.55700000000000005","0.40400000000000003","2.1079680213239901E-11","2"
"SGK1","4.8015870002263803E-14","0.65638346384971702","0.19900000000000001","8.3000000000000004E-2","5.88626550357752E-10","2"
"RGS2","1.5631827258118199E-13","0.80755068380008899","0.123","3.9E-2","1.91630570357271E-9","2"
"JUN","1.05730535470388E-10","0.64897117935882698","0.17699999999999999","8.5000000000000006E-2","1.29615063433148E-6","2"
"RGS16","1.9477680433053601E-10","0.69771333075009201","0.109","4.1000000000000002E-2","2.3877688442880398E-6","2"
"SLC2A3","2.6889999305279301E-8","0.50732843330286004","0.104","4.1000000000000002E-2","3.29644501483419E-4","2"
"ZFP36","8.3525502044736703E-8","0.40246733710013199","0.18099999999999999","9.5000000000000001E-2","1.02393912956643E-3","2"
"CDKN1A","1.45226842075739E-7","0.630461465235989","0.123","6.0999999999999999E-2","1.7803358570064899E-3","2"
"CEBPD","1.37498474414109E-5","0.27359478211441202","0.54200000000000004","0.45400000000000001","0.168559379784257","2"
"ARRDC2","2.0808235661647499E-5","0.350183955658046","0.112","5.7000000000000002E-2","0.25508816097613701","2"
"KCNMA1","1.2185605575386501E-4","0.380574176028319","0.11899999999999999","6.8000000000000005E-2","1","2"
"GLUL","1.9756769338399001E-4","0.387392362120627","0.22700000000000001","0.16500000000000001","1","2"
"BTG2","2.9737371482875102E-4","0.39251940777701699","0.126","8.2000000000000003E-2","1","2"
"SERP1","1.68489115388912E-3","0.26633137511126598","0.218","0.16600000000000001","1","2"
"HMOX1","2.8458982099318401E-3","0.290431346341323","0.114","7.3999999999999996E-2","1","2"
"HSPE1","3.8645990723329502E-3","0.28938849875768002","0.25","0.20399999999999999","1","2"
"CFLAR","4.8643294645324096E-3","0.35179230770567599","0.11600000000000001","0.08","1","2"
"HSPA81","5.5730962540350903E-3","0.25802957353362199","0.28299999999999997","0.23300000000000001","1","2"
