"Table S7 Average scaled expression for and percentage of cells expressing selected genes in clusters identified with bc-Smart-seq2 single-cell RNA sequencing (related to Fig 3D).","...2","...3","...4"
"gene","cluster","scaled.avg.exp","fraction.exp"
"FRG1","4","-0.368600866544119","8.6614173228346497E-2"
"SERF1A","4","-0.330875458332056","3.1496062992125998E-2"
"MEF2C","4","1.6683827499609101","0.51968503937007904"
"SMIM11A","4","-0.37673934912197898","1.5748031496062999E-2"
"HLA-DPB1","4","0.24460195462055301","0.291338582677165"
"CD63","4","-0.78491464120099697","0.22834645669291301"
"GLUL","4","-0.38385343600932498","0.196850393700787"
"TREM2","4","0.71765718602237005","0.29921259842519699"
"NEAT1","4","-0.30956815417518802","0.78740157480314998"
"ZNF302","4","0.24237194574713","0.65354330708661401"
"FGD2","4","-5.3516999540564103E-2","0.66929133858267698"
"AXL","4","-0.27933392361621501","0.59842519685039397"
"LYZ","3","1.6331292562027899","0.14012738853503201"
"CTSZ","3","1.67605646405131","4.4585987261146501E-2"
"LPL","3","-0.56970456979516404","6.3694267515923596E-3"
"CTSD","3","1.25124895698922","0.305732484076433"
"CTSB","3","-1.1152995297764401","0.72611464968152895"
"C1QB","3","-0.207665092600608","0.63057324840764295"
"C1QA","3","0.97386546546097397","0.58598726114649702"
"SPP1","3","1.59023416266087","0.89808917197452198"
"B2M","3","-0.13296911468703401","0.86624203821656098"
"APOE","3","0.331858163179234","0.54140127388534998"
"CSF1R","3","-4.8600690429825802E-2","0.515923566878981"
"CX3CR1","3","-0.32419686090372701","0.34394904458598702"
"ITGAM","3","-1.1566270388414699","0.101910828025478"
"TMEM163","3","0.59465214682408496","3.1847133757961797E-2"
"VSIR","3","-0.29740877800432503","0.20382165605095501"
"ADGRG1","3","-0.20691644427109199","0.35031847133757998"
"P2RY12","3","0.62031838837580699","0.19745222929936301"
"TMEM119","3","0.75500369807224299","0.14012738853503201"
"FRG1","3","-0.39632293378183697","5.0955414012738898E-2"
"SERF1A","3","-0.38755460283548099","0"
"MEF2C","3","-0.87041337452987699","0.388535031847134"
"SMIM11A","3","2.2677058863122901","0.98726114649681496"
"HLA-DPB1","3","1.35415113708462","0.36305732484076397"
"CD63","3","0.19247407343463899","0.37579617834394902"
"GLUL","3","6.9424542741336595E-2","0.39490445859872603"
"TREM2","3","1.07552976823055","0.29936305732484098"
"NEAT1","3","-0.44666182188090803","0.82802547770700596"
"ZNF302","3","-0.36318378782794902","0.68789808917197404"
"FGD2","3","-0.82893231468605799","0.69426751592356695"
"AXL","3","1.6660513520748901","0.64968152866242002"
"LYZ","5","-0.29141054797655702","0.102272727272727"
"CTSZ","5","-0.74575795884259299","1.13636363636364E-2"
"LPL","5","1.97014313594354","2.27272727272727E-2"
"CTSD","5","-0.63624328561556998","0.102272727272727"
"CTSB","5","-0.202780515215507","0.71590909090909105"
"C1QB","5","3.3895998254012003E-2","0.72727272727272696"
"C1QA","5","0.34500815730622802","0.55681818181818199"
"SPP1","5","-0.68196775193125603","0.90909090909090895"
"B2M","5","0.51473105458148505","0.92045454545454497"
"APOE","5","0.55072736797804001","0.46590909090909099"
"CSF1R","5","-1.1143940391437399","0.51136363636363602"
"CX3CR1","5","1.34807884444561","0.35227272727272702"
"ITGAM","5","-0.41770010237338101","0.125"
"TMEM163","5","-1.3192960574585699","0"
"VSIR","5","-1.1410695206313799","0.21590909090909099"
"ADGRG1","5","-0.64653475228572299","0.34090909090909099"
"P2RY12","5","0.12450002781354701","0.26136363636363602"
"TMEM119","5","0.54272941941863095","0.125"
"FRG1","5","-0.37211468797703201","0.13636363636363599"
"SERF1A","5","2.26728566271826","0.98863636363636398"
"MEF2C","5","-0.44535871895157503","0.38636363636363602"
"SMIM11A","5","-0.35974367193936302","4.5454545454545497E-2"
"HLA-DPB1","5","-0.45099599632847198","0.26136363636363602"
"CD63","5","-0.42521118957292298","0.29545454545454503"
"GLUL","5","9.0863421066187E-2","0.23863636363636401"
"TREM2","5","0.10254871503120901","0.25"
"NEAT1","5","0.80067518427747797","0.86363636363636398"
"ZNF302","5","-0.88434270301632101","0.65909090909090895"
"FGD2","5","1.2925436604490701","0.76136363636363602"
"AXL","5","0.23323533836856","0.63636363636363602"
"LYZ","6","1.22607731720348","0.13793103448275901"
"CTSZ","6","-0.97183746895008605","0"
"LPL","6","-0.86198962188972705","3.4482758620689703E-2"
"CTSD","6","-1.39972819178604","3.4482758620689703E-2"
"CTSB","6","-0.38546539786755801","0.51724137931034497"
"C1QB","6","-1.9780201225009","0.48275862068965503"
"C1QA","6","-1.3855261167555499","0.44827586206896602"
"SPP1","6","-1.1671331835304299","0.79310344827586199"
"B2M","6","-1.3726465211277701","0.72413793103448298"
"APOE","6","1.33188729959112","0.55172413793103403"
"CSF1R","6","2.07502270290126","0.41379310344827602"
"CX3CR1","6","1.53975719939398","0.27586206896551702"
"ITGAM","6","-0.447032046591127","3.4482758620689703E-2"
"TMEM163","6","-1.3192960574585699","0"
"VSIR","6","-1.3208337331706299","6.8965517241379296E-2"
"ADGRG1","6","-1.2500321273950099","0.17241379310344801"
"P2RY12","6","-2.01333644956902","0.10344827586206901"
