gene,Paper_Cluster,Our_FoldChange,Our_Pvalue,Our_Direction,Our_Mean_MCI,Our_Mean_AD,Our_Pct_MCI,Our_Pct_AD,Paper_LogFC,Paper_Pvalue,Paper_AdjPvalue,Paper_Pct1,Paper_Pct2
HSP90AA1,2,2.310911455254758,4.059619898374256e-206,UP in AD,0.2222222222222222,1.82444733420026,15.101721439749609,62.46207195491981,0.987718827335924,3.62367507445266e-70,4.44226327377151e-66,0.886,0.664
HSPA1A,2,2.093766089010377,5.356278683784793e-190,UP in AD,0.3419405320813771,1.809709579540529,22.183098591549296,65.92977893368011,0.980115963919106,2.5103675873295203e-67,3.07745962530726e-63,0.809,0.523
HSPA1B,2,1.3466787511000775,1.4097831597650594e-33,UP in AD,0.1619718309859155,0.564802774165583,11.22848200312989,30.73255309926311,1.51423452782321,1.38571991528858e-100,1.69875404415227e-96,0.5859999999999999,0.164
DNAJB1,2,1.2195463083369456,5.691700238845496e-14,UP in AD,0.056338028169014,0.2882531426094495,4.420970266040689,16.818378846987432,1.50590369678926,3.71290220319368e-57,4.551646810895129e-53,0.3589999999999999,0.095
FOS,2,1.1688300920470354,5.952091323975769e-09,UP in AD,0.0676838810641627,0.247941048981361,4.264475743348982,13.87082791504118,1.20203102561718,3.56049960183569e-30,4.3648164618903796e-26,0.247,0.077
HSPA6,2,1.1809372838058831,0.0001424714350909,UP in AD,0.0449921752738654,0.2340702210663199,3.3255086071987483,9.53619419159081,1.45911187008662,5.968534478141209e-31,7.31682641675331e-27,0.196,0.048
JUN,2,1.042188583749771,0.0679170102725689,UP in AD,0.1604068857589984,0.2093628088426528,11.267605633802818,14.347637624620718,0.6489711793588269,1.05730535470388e-10,1.29615063433148e-06,0.1769999999999999,0.085
HSPA8,1,0.9867168739578928,0.487655344460337,DOWN in AD,0.1478873239436619,0.1326397919375812,12.323943661971832,11.183355006501952,0.293517842735739,1.33710909264022e-05,0.1639162036667639,0.2919999999999999,0.221
