names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
HAL1M8#LINE#L1,-3.5912223,-0.24860154,0.00032913082890948154,0.0140618309316844,HAL1M8#LINE#L1,LINE,L1
L1MEi#LINE#L1,-3.6007926,-0.20913856,0.0003172484048509557,0.014011362609359649,L1MEi#LINE#L1,LINE,L1
AluYb9#SINE#Alu,-3.6213076,-0.19158544,0.00029311762178612066,0.013206281214291037,AluYb9#SINE#Alu,SINE,Alu
AluSc8#SINE#Alu,-3.6466205,-0.068747066,0.0002657119433845341,0.01219322584642362,AluSc8#SINE#Alu,SINE,Alu
MER48#LTR#ERV1,-3.7240021,-0.23005217,0.0001960892198210631,0.0091680959757848,MER48#LTR#ERV1,LTR,ERV1
MamRep1527#LTR#LTR,-3.7460802,-0.29644257,0.00017961913876643568,0.008559542805062069,MamRep1527#LTR#LTR,LTR,LTR
SVA_D#Retroposon#SVA,-3.7989225,-0.1635061,0.0001453265440100561,0.00720238352113838,SVA_D#Retroposon#SVA,Retroposon,SVA
MLT1A#LTR#ERVL-MaLR,-3.8328545,-0.20354651,0.0001266648764663306,0.006405623752725862,MLT1A#LTR#ERVL-MaLR,LTR,ERVL-MaLR
A-rich#Low_complexity#Low_complexity,-3.8828404,-0.09583825,0.0001032433846419217,0.005443342705163446,A-rich#Low_complexity#Low_complexity,Low_complexity,Low_complexity
MIR3#SINE#MIR,-3.912848,-0.124102555,9.121399411972353e-05,0.004913658204971194,MIR3#SINE#MIR,SINE,MIR
(AAAG)n#Simple_repeat#Simple_repeat,-3.926838,-0.29796547,8.60699448300312e-05,0.004739584961973718,(AAAG)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
MLT1G3#LTR#ERVL-MaLR,-4.083042,-0.38748267,4.444996823766211e-05,0.0025033413930210615,MLT1G3#LTR#ERVL-MaLR,LTR,ERVL-MaLR
ERV3-16A3_I-int#LTR#ERVL,-4.1374946,-0.23458679,3.511186069948291e-05,0.002023423042170201,ERV3-16A3_I-int#LTR#ERVL,LTR,ERVL
L1MD1#LINE#L1,-4.2007833,-0.21044429,2.659928838991081e-05,0.0015693580150047378,L1MD1#LINE#L1,LINE,L1
L1PA17#LINE#L1,-4.321529,-0.29744253,1.5495189944725692e-05,0.0009365141630007383,L1PA17#LINE#L1,LINE,L1
AluSq2#SINE#Alu,-4.3322506,-0.10759954,1.4759277126940813e-05,0.0009143372180139835,AluSq2#SINE#Alu,SINE,Alu
L1MA2#LINE#L1,-4.3389926,-0.23952238,1.4313736566844702e-05,0.0009094728003241325,L1MA2#LINE#L1,LINE,L1
MLT1C#LTR#ERVL-MaLR,-4.562724,-0.20526223,5.04941054468487e-06,0.0003574982665636888,MLT1C#LTR#ERVL-MaLR,LTR,ERVL-MaLR
LTR19A#LTR#ERV1,-4.5954103,-0.57554305,4.3189856844660695e-06,0.0003147778390031447,LTR19A#LTR#ERV1,LTR,ERV1
AluJr4#SINE#Alu,-4.6159253,-0.1325339,3.913477560663282e-06,0.0003030499186038629,AluJr4#SINE#Alu,SINE,Alu
LTR81A#LTR#Gypsy,-4.6983495,-0.39965543,2.6227230734625495e-06,0.00020964863793678057,LTR81A#LTR#Gypsy,LTR,Gypsy
L1PB1#LINE#L1,-4.7489333,-0.2404577,2.044923684258407e-06,0.0001689106963197444,L1PB1#LINE#L1,LINE,L1
L1PA6#LINE#L1,-4.9145746,-0.22454979,8.897549305119033e-07,7.602802475201711e-05,L1PA6#LINE#L1,LINE,L1
MIRb#SINE#MIR,-4.966657,-0.113956444,6.811677570284665e-07,6.251606303394594e-05,MIRb#SINE#MIR,SINE,MIR
AluSx#SINE#Alu,-5.2378993,-0.07799182,1.6241443758133887e-07,1.6098519053062308e-05,AluSx#SINE#Alu,SINE,Alu
L1PA7#LINE#L1,-5.4893,-0.25090945,4.0353028067407226e-08,4.347600154392831e-06,L1PA7#LINE#L1,LINE,L1
L1PA2#LINE#L1,-5.7641745,-0.2359344,8.205857685965576e-09,9.68291206943938e-07,L1PA2#LINE#L1,LINE,L1
L1MD#LINE#L1,-5.800693,-0.29260197,6.604142805666484e-09,8.182532936220775e-07,L1MD#LINE#L1,LINE,L1
L1MA4A#LINE#L1,-5.8896227,-0.29417667,3.870782915958601e-09,5.048315824076534e-07,L1MA4A#LINE#L1,LINE,L1
L1MA9#LINE#L1,-6.4643645,-0.26092944,1.0172528042666919e-10,1.482795558219331e-08,L1MA9#LINE#L1,LINE,L1
(TA)n#Simple_repeat#Simple_repeat,-6.673055,-0.2545972,2.5053234872669148e-11,3.8801197509046345e-09,(TA)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
L1P4#LINE#L1,-6.7133284,-0.31307265,1.9023418966828156e-11,3.1426688133200115e-09,L1P4#LINE#L1,LINE,L1
L1PA10#LINE#L1,-6.803607,-0.30231425,1.0203151582234616e-11,1.805957830055527e-09,L1PA10#LINE#L1,LINE,L1
L1HS#LINE#L1,-7.296434,-0.2582628,2.954949795859296e-13,5.632588918568719e-11,L1HS#LINE#L1,LINE,L1
L1PA4#LINE#L1,-7.349966,-0.29834753,1.9825752942295553e-13,4.094017982584031e-11,L1PA4#LINE#L1,LINE,L1
L1PA3#LINE#L1,-7.8002133,-0.36010492,6.180258626820528e-15,1.7016312085845852e-12,L1PA3#LINE#L1,LINE,L1
AluJo#SINE#Alu,-8.561968,-0.15176356,1.1095685348504685e-17,3.4368885366993263e-15,AluJo#SINE#Alu,SINE,Alu
AluJb#SINE#Alu,-9.206354,-0.147263,3.373896427337522e-20,1.3934192244903965e-17,AluJb#SINE#Alu,SINE,Alu
(AT)n#Simple_repeat#Simple_repeat,-9.707196,-0.2810751,2.8095799659706934e-22,1.3924278311350758e-19,(AT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
AluJr#SINE#Alu,-11.193801,-0.23145086,4.372778984061405e-29,2.7089365806260407e-26,AluJr#SINE#Alu,SINE,Alu
(T)n#Simple_repeat#Simple_repeat,-13.494868,-0.35365856,1.6765352642879833e-41,1.384818128301874e-38,(T)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(A)n#Simple_repeat#Simple_repeat,-14.195098,-0.36258054,9.82489469877888e-46,1.2173044531787033e-42,(A)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
