names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
tRNA-Ser-TCA(m)#tRNA#tRNA,17.669933,1.4753846,7.148125607862638e-70,1.7713055256283618e-66,tRNA-Ser-TCA(m)#tRNA#tRNA,tRNA,tRNA
L1M4c#LINE#L1,8.614104,0.3813841,7.049074963211928e-18,2.4953725369770224e-15,L1M4c#LINE#L1,LINE,L1
tRNA-Gln-CAA_#tRNA#tRNA,7.590892,0.74768347,3.177115624252813e-14,7.872892516898471e-12,tRNA-Gln-CAA_#tRNA#tRNA,tRNA,tRNA
5S#rRNA#rRNA,7.4023604,0.73260623,1.3378497524290386e-13,3.013810624108325e-11,5S#rRNA#rRNA,rRNA,rRNA
Alu#SINE#Alu,6.2805085,0.32143003,3.3746707685693266e-10,4.645796758063773e-08,Alu#SINE#Alu,SINE,Alu
(GCT)n#Simple_repeat#Simple_repeat,5.645668,0.7490054,1.6454105484011934e-08,1.853330608608253e-06,(GCT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(CTTTTT)n#Simple_repeat#Simple_repeat,5.4417114,0.44376808,5.277109827342757e-08,5.448615896731397e-06,(CTTTTT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
AluSg4#SINE#Alu,5.0125937,0.17377461,5.370124560588788e-07,5.118141792745776e-05,AluSg4#SINE#Alu,SINE,Alu
AluSg#SINE#Alu,4.9274883,0.108275674,8.329348191159389e-07,7.371473149176059e-05,AluSg#SINE#Alu,SINE,Alu
AluYj4#SINE#Alu,4.5967536,0.17618294,4.291244420731484e-06,0.0003147778390031447,AluYj4#SINE#Alu,SINE,Alu
MER20#DNA#hAT-Charlie,4.5357094,0.19360934,5.74101900909631e-06,0.0003951734751261293,MER20#DNA#hAT-Charlie,DNA,hAT-Charlie
AluYh3#SINE#Alu,4.413621,0.18117495,1.0165595467888468e-05,0.000680820150525071,AluYh3#SINE#Alu,SINE,Alu
AluY#SINE#Alu,4.387983,0.07455624,1.14406906094671e-05,0.0007460534560594598,AluY#SINE#Alu,SINE,Alu
AluSq10#SINE#Alu,3.8593104,0.2015207,0.0001137074525346533,0.0058701472371014765,AluSq10#SINE#Alu,SINE,Alu
AluSg7#SINE#Alu,3.7642004,0.13782877,0.00016708276491610174,0.008118256695335297,AluSg7#SINE#Alu,SINE,Alu
LTR26#LTR#ERV1,3.5966876,0.77756053,0.000322295265832728,0.014011362609359649,LTR26#LTR#ERV1,LTR,ERV1
(ATTC)n#Simple_repeat#Simple_repeat,3.580225,0.31227484,0.0003432985794493223,0.01408854220333056,(ATTC)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
AluSq4#SINE#Alu,3.5775633,0.16164038,0.00034681237869377084,0.01408854220333056,AluSq4#SINE#Alu,SINE,Alu
LTR2B#LTR#ERV1,3.564811,0.9837647,0.00036411864969948955,0.014553000225086049,LTR2B#LTR#ERV1,LTR,ERV1
MER33#DNA#hAT-Charlie,3.3810105,0.14452523,0.0007221978774039637,0.02631774029716209,MER33#DNA#hAT-Charlie,DNA,hAT-Charlie
AluYm1#SINE#Alu,3.362548,0.11577307,0.0007722666621471927,0.027734446214503532,AluYm1#SINE#Alu,SINE,Alu
LTR8#LTR#ERV1,3.356243,0.2819025,0.0007900915017143681,0.027969239160688632,LTR8#LTR#ERV1,LTR,ERV1
G-rich#Low_complexity#Low_complexity,3.2922642,0.10940318,0.0009938416548880178,0.03468647353257054,G-rich#Low_complexity#Low_complexity,Low_complexity,Low_complexity
(TTTCTT)n#Simple_repeat#Simple_repeat,3.2573617,0.33212474,0.0011245308840490457,0.038172431927034726,(TTTCTT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
MLT1J#LTR#ERVL-MaLR,-3.2851303,-0.1775839,0.0010193524592123507,0.0350827138045584,MLT1J#LTR#ERVL-MaLR,LTR,ERVL-MaLR
(AC)n#Simple_repeat#Simple_repeat,-3.3954983,-0.14247215,0.0006850378680285226,0.025336176671263866,(AC)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
LTR16A2#LTR#ERVL,-3.4002128,-0.30483225,0.0006733345889495317,0.02528065320328696,LTR16A2#LTR#ERVL,LTR,ERVL
FAM#SINE#Alu,-3.4537642,-0.16102383,0.0005528206984528348,0.021075226011786533,FAM#SINE#Alu,SINE,Alu
L1ME3B#LINE#L1,-3.4619634,-0.16687766,0.0005362500268894367,0.020762930728625378,L1ME3B#LINE#L1,LINE,L1
L1MA6#LINE#L1,-3.5048652,-0.21158922,0.0004568385269692762,0.01796898206079153,L1MA6#LINE#L1,LINE,L1
L1MC1#LINE#L1,-3.5818353,-0.17178716,0.0003411888752256368,0.01408854220333056,L1MC1#LINE#L1,LINE,L1
