cluster,n_cells,te_pct_mean,te_pct_median,te_counts_mean,te_counts_median,n_tes_mean,n_tes_median
0,3399,52.30167377979385,50.58939096267191,426.19604,425.98083,211.46484260076494,208.0
1,1945,54.58007073699387,53.00706111516922,436.7426,439.69415,211.0005141388175,211.0
2,1880,62.217902625209895,60.86322472878014,442.62427,444.39917,213.7654255319149,212.0
3,1677,69.77083767431245,70.5619650167473,423.04733,426.85147,193.02504472271914,187.0
4,1224,48.6078892448639,46.85501643328613,423.96164,423.11713,213.75245098039215,214.0
5,902,55.86830093549677,54.55638121437393,447.35117,449.9925,221.5720620842572,220.0
6,749,62.04599689302926,61.04044918070356,448.50327,449.32263,214.7343124165554,212.0
7,548,56.6818192605903,55.329163734039135,430.07672,431.12708,202.64963503649636,198.5
8,191,44.20839363539179,44.471409070225995,411.43304,410.84515,209.717277486911,205.0
