names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
L1ME4b#LINE#L1,4.741009,0.23126426,2.1265616529312436e-06,0.002634809887981811,L1ME4b#LINE#L1,LINE,L1
MIRc#SINE#MIR,4.333192,0.1475761,1.4696293041654036e-05,0.009104353539304675,MIRc#SINE#MIR,SINE,MIR
L1MC5a#LINE#L1,4.1720195,0.233379,3.0191198896218102e-05,0.012801491888800707,L1MC5a#LINE#L1,LINE,L1
AluSp#SINE#Alu,4.16602,0.0992638,3.099634839903319e-05,0.012801491888800707,AluSp#SINE#Alu,SINE,Alu
L1ME1#LINE#L1,4.045699,0.13084218,5.216724509233396e-05,0.01846720476268622,L1ME1#LINE#L1,LINE,L1
(A)n#Simple_repeat#Simple_repeat,-4.5923,-0.14627285,4.383879344143316e-06,0.003621084338262379,(A)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(T)n#Simple_repeat#Simple_repeat,-4.83986,-0.16229737,1.2993071677089774e-06,0.002634809887981811,(T)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
